GCA_007011985.1_PDT000337450.1_genomic,"1,3,19"
GCA_010973915.1_PDT000051461.2_genomic,"1,3,19"
GCA_008669555.1_PDT000100887.2_genomic,"1,3,19"
GCA_005995165.1_PDT000201452.2_genomic,"1,3,19"
GCA_015882865.1_PDT000899614.1_genomic,"1,3,19"
GCA_014094755.1_PDT000802906.1_genomic,"1,3,19"
GCA_016060995.1_PDT000913323.1_genomic,"1,3,19"
GCA_011425785.1_PDT000649275.1_genomic,"1,3,19"
GCA_009103545.1_PDT000185598.2_genomic,"1,3,19"
GCA_006740225.1_PDT000368610.2_genomic,"1,3,19"
GCA_008904145.1_PDT000128377.2_genomic,"1,3,19"
GCA_005595155.1_PDT000487022.1_genomic,"1,3,19"
GCA_007267795.1_PDT000344230.1_genomic,"1,3,19"
GCA_008617795.1_PDT000086658.2_genomic,"1,3,19"
GCA_007430765.1_PDT000468655.1_genomic,"1,3,19"
GCA_011434835.1_PDT000055245.2_genomic,"1,3,19"
GCA_019094425.1_PDT001080422.1_genomic,"1,3,19"
GCA_010925595.1_PDT000629684.1_genomic,"1,3,19"
GCA_006983825.1_PDT000380021.1_genomic,"1,3,19"
GCA_020133345.1_PDT001134709.1_genomic,"1,3,19"
GCA_011258095.1_PDT000678713.1_genomic,"1,3,19"
GCA_018284715.1_PDT001019497.1_genomic,"1,3,19"
GCA_004256125.1_PDT000345043.1_genomic,"1,3,19"
GCA_019151245.1_PDT001083514.1_genomic,"1,3,19"
GCA_008196605.1_PDT000575123.1_genomic,"1,3,19"
GCA_006782045.1_PDT000358643.2_genomic,"1,3,19"
GCA_006850485.1_PDT000039454.2_genomic,"1,3,19"
GCA_006693805.1_PDT000060675.3_genomic,"1,3,19"
GCA_006457415.1_PDT000522749.1_genomic,"1,3,19"
GCA_010553605.1_PDT000130476.2_genomic,"1,3,19"
GCA_006097555.1_PDT000127562.2_genomic,"1,3,19"
GCA_014580775.1_PDT000725191.1_genomic,"1,3,19"
GCA_011599225.1_PDT000624128.1_genomic,"1,3,19"
GCA_002030925.1_ASM203092v1_genomic,"1,3,19"
GCA_005610895.1_PDT000312685.3_genomic,"1,3,19"
GCA_007818965.1_PDT000077381.4_genomic,"1,3,19"
GCA_006203485.1_PDT000293074.2_genomic,"1,3,19"
GCA_007048605.1_PDT000235165.2_genomic,"1,3,19"
GCA_006551795.1_PDT000359021.1_genomic,"1,3,19"
GCA_009553475.1_PDT000244534.2_genomic,"1,3,19"
GCA_007606965.1_PDT000476719.1_genomic,"1,3,19"
GCA_007561025.1_PDT000290317.2_genomic,"1,3,19"
GCA_020825955.1_PDT001172885.1_genomic,"1,3,19"
GCA_015054725.1_PDT000857431.1_genomic,"1,3,19"
GCA_008824885.1_PDT000106146.2_genomic,"1,3,19"
GCA_006531455.1_PDT000532361.1_genomic,"1,3,19"
GCA_004220805.1_PDT000405249.1_genomic,"1,3,19"
GCA_007250795.1_PDT000339652.1_genomic,"1,3,19"
GCA_010641665.1_PDT000044665.3_genomic,"1,3,19"
GCA_008825145.1_PDT000106144.2_genomic,"1,3,19"
GCA_015880125.1_PDT000900943.1_genomic,"1,3,19"
GCA_018484385.1_PDT001024899.1_genomic,"1,3,19"
GCA_014537905.1_PDT000836050.1_genomic,"1,3,19"
GCF_040797915.1_ASM4079791v1_genomic,"1,3,19"
GCA_006254035.1_PDT000267770.2_genomic,"1,3,19"
GCA_011354565.1_PDT000668433.2_genomic,"1,3,19"
GCA_011797975.1_PDT000685842.1_genomic,"1,3,19"
GCA_002043365.1_ASM204336v1_genomic,"1,3,19"
GCA_009350525.1_PDT000616919.1_genomic,"1,3,19"
GCA_011076735.1_PDT000042818.4_genomic,"1,3,19"
GCF_032906985.1_ASM3290698v1_genomic,"1,3,19"
GCA_016572815.1_PDT000928902.1_genomic,"1,3,19"
GCA_006998805.1_PDT000341894.1_genomic,"1,3,19"
GCA_005820585.1_PDT000429072.1_genomic,"1,3,19"
GCA_005981445.1_PDT000173395.2_genomic,"1,3,19"
GCA_018277325.1_PDT001018692.1_genomic,"1,3,19"
GCA_019870525.1_PDT001122643.1_genomic,"1,3,19"
GCA_006918995.1_PDT000171495.2_genomic,"1,3,19"
GCA_010578445.1_PDT000283671.2_genomic,"1,3,19"
GCA_009244685.1_PDT000211269.2_genomic,"1,3,19"
GCA_019094385.1_PDT001080424.1_genomic,"1,3,19"
GCA_014759985.1_PDT000724954.1_genomic,"1,3,19"
GCA_020825215.1_PDT001172862.1_genomic,"1,3,19"
GCA_006755725.1_PDT000001939.6_genomic,"1,3,19"
GCA_005493505.1_PDT000473273.1_genomic,"1,3,19"
GCA_014605515.1_PDT000836542.1_genomic,"1,3,19"
GCA_006569865.1_PDT000128367.2_genomic,"1,3,19"
GCA_014987185.1_PDT000862795.1_genomic,"1,3,19"
GCA_007083685.1_PDT000257285.2_genomic,"1,3,19"
GCA_014817805.1_PDT000850132.1_genomic,"1,3,19"
GCA_008026695.1_PDT000045707.3_genomic,"1,3,19"
GCA_006863385.1_PDT000001813.3_genomic,"1,3,19"
GCA_008410745.1_PDT000123490.2_genomic,"1,3,19"
GCA_006689305.1_PDT000037270.4_genomic,"1,3,19"
GCA_014744635.1_PDT000844728.1_genomic,"1,3,19"
GCA_005479515.1_PDT000434014.1_genomic,"1,3,19"
GCA_006938995.1_PDT000162226.2_genomic,"1,3,19"
GCA_010808505.1_PDT000650463.1_genomic,"1,3,19"
GCA_005533055.1_PDT000085425.2_genomic,"1,3,19"
GCA_005758055.1_PDT000222661.2_genomic,"1,3,19"
GCA_007770105.1_PDT000329617.1_genomic,"1,3,19"
GCA_008428205.1_PDT000141545.2_genomic,"1,3,19"
GCA_010806465.1_PDT000660123.1_genomic,"1,3,19"
GCA_005588585.1_PDT000478782.1_genomic,"1,3,19"
GCF_040797905.1_ASM4079790v1_genomic,"1,3,19"
GCA_013642675.1_PDT000773173.1_genomic,"1,3,19"
GCA_005529555.1_PDT000467940.1_genomic,"1,3,19"
GCA_005986245.1_PDT000185578.2_genomic,"1,3,19"
GCA_005762355.1_PDT000358631.1_genomic,"1,3,19"
GCA_008729415.1_PDT000097051.2_genomic,"1,3,19"
GCA_011592945.1_PDT000635626.1_genomic,"1,3,19"
GCA_007310965.1_PDT000383268.1_genomic,"1,3,19"
GCA_006469445.1_PDT000525113.1_genomic,"1,3,19"
GCA_005812045.1_PDT000413856.1_genomic,"1,3,19"
GCA_013529015.1_PDT000791790.1_genomic,"1,3,19"
GCA_008185805.1_PDT000573619.1_genomic,"1,3,19"
GCA_013123965.1_PDT000733478.1_genomic,"1,3,19"
GCA_005667895.1_PDT000482263.1_genomic,"1,3,19"
GCF_002035555.1_ASM203555v1_genomic,"1,3,19"
GCA_006865325.1_PDT000003249.5_genomic,"1,3,19"
GCA_007189975.1_PDT000101333.2_genomic,"1,3,19"
GCA_004354245.1_ASM435424v1_genomic,"1,3,19"
GCA_006485725.1_PDT000526223.1_genomic,"1,3,19"
GCA_002270405.1_ASM227040v1_genomic,"1,3,19"
GCA_007329975.1_PDT000390546.1_genomic,"1,3,19"
GCA_019542915.1_PDT001102298.1_genomic,"1,3,19"
GCA_007047745.1_PDT000234685.2_genomic,"1,3,19"
GCA_007102925.1_PDT000268914.2_genomic,"1,3,19"
GCA_005897325.1_PDT000167598.2_genomic,"1,3,19"
GCA_018218315.1_PDT001016317.1_genomic,"1,3,19"
GCA_005981465.1_PDT000173416.2_genomic,"1,3,19"
